,Datetime,Date,Time,Adj Close
0,2024-02-16 09:30:00-05:00,16/02/2024,9:30:00,182.5449982
1,2024-02-16 10:30:00-05:00,16/02/2024,10:30:00,183.1499939
2,2024-02-16 11:30:00-05:00,16/02/2024,11:30:00,182.940094
3,2024-02-16 12:30:00-05:00,16/02/2024,12:30:00,182.6499939
4,2024-02-16 13:30:00-05:00,16/02/2024,13:30:00,183.1430054
5,2024-02-16 14:30:00-05:00,16/02/2024,14:30:00,182.2559967
6,2024-02-16 15:30:00-05:00,16/02/2024,15:30:00,182.2899933
7,2024-02-20 09:30:00-05:00,20/02/2024,9:30:00,180.4600067
8,2024-02-20 10:30:00-05:00,20/02/2024,10:30:00,181.125
9,2024-02-20 11:30:00-05:00,20/02/2024,11:30:00,180.7449951
10,2024-02-20 12:30:00-05:00,20/02/2024,12:30:00,180.5099945
11,2024-02-20 13:30:00-05:00,20/02/2024,13:30:00,180.6900024
12,2024-02-20 14:30:00-05:00,20/02/2024,14:30:00,181.3827057
13,2024-02-20 15:30:00-05:00,20/02/2024,15:30:00,181.6100006
14,2024-02-21 09:30:00-05:00,21/02/2024,9:30:00,182.5599976
15,2024-02-21 10:30:00-05:00,21/02/2024,10:30:00,182.1549988
16,2024-02-21 11:30:00-05:00,21/02/2024,11:30:00,181.3899994
17,2024-02-21 12:30:00-05:00,21/02/2024,12:30:00,181.4199982
18,2024-02-21 13:30:00-05:00,21/02/2024,13:30:00,180.9499969
19,2024-02-21 14:30:00-05:00,21/02/2024,14:30:00,181.2050018
20,2024-02-21 15:30:00-05:00,21/02/2024,15:30:00,182.3300018
21,2024-02-22 09:30:00-05:00,22/02/2024,9:30:00,183.0549927
22,2024-02-22 10:30:00-05:00,22/02/2024,10:30:00,183.0350037
23,2024-02-22 11:30:00-05:00,22/02/2024,11:30:00,183.0599976
24,2024-02-22 12:30:00-05:00,22/02/2024,12:30:00,184.0399933
25,2024-02-22 13:30:00-05:00,22/02/2024,13:30:00,184.9400024
26,2024-02-22 14:30:00-05:00,22/02/2024,14:30:00,184.5599976
27,2024-02-22 15:30:00-05:00,22/02/2024,15:30:00,184.3699951
28,2024-02-23 09:30:00-05:00,23/02/2024,9:30:00,183.3000031
29,2024-02-23 10:30:00-05:00,23/02/2024,10:30:00,183.0590057
30,2024-02-23 11:30:00-05:00,23/02/2024,11:30:00,182.5599976
31,2024-02-23 12:30:00-05:00,23/02/2024,12:30:00,182.9550018
32,2024-02-23 13:30:00-05:00,23/02/2024,13:30:00,182.4700012
33,2024-02-23 14:30:00-05:00,23/02/2024,14:30:00,182.5850067
34,2024-02-23 15:30:00-05:00,23/02/2024,15:30:00,182.5099945
35,2024-02-26 09:30:00-05:00,26/02/2024,9:30:00,181.6022034
36,2024-02-26 10:30:00-05:00,26/02/2024,10:30:00,180.9400024
37,2024-02-26 11:30:00-05:00,26/02/2024,11:30:00,180.9700012
38,2024-02-26 12:30:00-05:00,26/02/2024,12:30:00,180.9850006
39,2024-02-26 13:30:00-05:00,26/02/2024,13:30:00,181.7120056
40,2024-02-26 14:30:00-05:00,26/02/2024,14:30:00,181.3800049
41,2024-02-26 15:30:00-05:00,26/02/2024,15:30:00,181.1399994
42,2024-02-27 09:30:00-05:00,27/02/2024,9:30:00,181.1699982
43,2024-02-27 10:30:00-05:00,27/02/2024,10:30:00,180.862793
44,2024-02-27 11:30:00-05:00,27/02/2024,11:30:00,180.6900024
45,2024-02-27 12:30:00-05:00,27/02/2024,12:30:00,180.0653992
46,2024-02-27 13:30:00-05:00,27/02/2024,13:30:00,182.6000061
47,2024-02-27 14:30:00-05:00,27/02/2024,14:30:00,182.6049957
48,2024-02-27 15:30:00-05:00,27/02/2024,15:30:00,182.6300049
49,2024-02-28 09:30:00-05:00,28/02/2024,9:30:00,181.1600037
50,2024-02-28 10:30:00-05:00,28/02/2024,10:30:00,181.6015015
51,2024-02-28 11:30:00-05:00,28/02/2024,11:30:00,180.701004
52,2024-02-28 12:30:00-05:00,28/02/2024,12:30:00,180.6022034
53,2024-02-28 13:30:00-05:00,28/02/2024,13:30:00,180.6199036
54,2024-02-28 14:30:00-05:00,28/02/2024,14:30:00,180.8350067
55,2024-02-28 15:30:00-05:00,28/02/2024,15:30:00,181.4199982
56,2024-02-29 09:30:00-05:00,29/02/2024,9:30:00,181.6199951
57,2024-02-29 10:30:00-05:00,29/02/2024,10:30:00,180.4299927
58,2024-02-29 11:30:00-05:00,29/02/2024,11:30:00,179.8200073
59,2024-02-29 12:30:00-05:00,29/02/2024,12:30:00,180.3800049
60,2024-02-29 13:30:00-05:00,29/02/2024,13:30:00,180.1100006
61,2024-02-29 14:30:00-05:00,29/02/2024,14:30:00,180.5850067
62,2024-02-29 15:30:00-05:00,29/02/2024,15:30:00,180.7700043
63,2024-03-01 09:30:00-05:00,01/03/2024,9:30:00,178.3085022
64,2024-03-01 10:30:00-05:00,01/03/2024,10:30:00,178.2299957
65,2024-03-01 11:30:00-05:00,01/03/2024,11:30:00,178.0399933
66,2024-03-01 12:30:00-05:00,01/03/2024,12:30:00,178.7001038
67,2024-03-01 13:30:00-05:00,01/03/2024,13:30:00,180.1999969
68,2024-03-01 14:30:00-05:00,01/03/2024,14:30:00,179.6799927
69,2024-03-01 15:30:00-05:00,01/03/2024,15:30:00,179.6399994
70,2024-03-04 09:30:00-05:00,04/03/2024,9:30:00,174.1699982
71,2024-03-04 10:30:00-05:00,04/03/2024,10:30:00,174.8150024
72,2024-03-04 11:30:00-05:00,04/03/2024,11:30:00,174.6269989
73,2024-03-04 12:30:00-05:00,04/03/2024,12:30:00,173.9049988
74,2024-03-04 13:30:00-05:00,04/03/2024,13:30:00,174.3500061
75,2024-03-04 14:30:00-05:00,04/03/2024,14:30:00,175.4400024
76,2024-03-04 15:30:00-05:00,04/03/2024,15:30:00,175.0800018
77,2024-03-05 09:30:00-05:00,05/03/2024,9:30:00,169.9100037
78,2024-03-05 10:30:00-05:00,05/03/2024,10:30:00,170.4199982
79,2024-03-05 11:30:00-05:00,05/03/2024,11:30:00,170.7850037
80,2024-03-05 12:30:00-05:00,05/03/2024,12:30:00,170.4700012
81,2024-03-05 13:30:00-05:00,05/03/2024,13:30:00,170.0440063
82,2024-03-05 14:30:00-05:00,05/03/2024,14:30:00,169.9799957
83,2024-03-05 15:30:00-05:00,05/03/2024,15:30:00,170.1699982
84,2024-03-06 09:30:00-05:00,06/03/2024,9:30:00,169.5800018
85,2024-03-06 10:30:00-05:00,06/03/2024,10:30:00,169.7799988
86,2024-03-06 11:30:00-05:00,06/03/2024,11:30:00,170.1799011
87,2024-03-06 12:30:00-05:00,06/03/2024,12:30:00,169.9915009
88,2024-03-06 13:30:00-05:00,06/03/2024,13:30:00,169.1000061
89,2024-03-06 14:30:00-05:00,06/03/2024,14:30:00,169
90,2024-03-06 15:30:00-05:00,06/03/2024,15:30:00,169.1199951
91,2024-03-07 09:30:00-05:00,07/03/2024,9:30:00,168.9700012
92,2024-03-07 10:30:00-05:00,07/03/2024,10:30:00,169.2799988
93,2024-03-07 11:30:00-05:00,07/03/2024,11:30:00,169.1600037
94,2024-03-07 12:30:00-05:00,07/03/2024,12:30:00,169.625
95,2024-03-07 13:30:00-05:00,07/03/2024,13:30:00,170.1000061
96,2024-03-07 14:30:00-05:00,07/03/2024,14:30:00,169.6101074
97,2024-03-07 15:30:00-05:00,07/03/2024,15:30:00,168.9799957
98,2024-03-08 09:30:00-05:00,08/03/2024,9:30:00,171.7799988
99,2024-03-08 10:30:00-05:00,08/03/2024,10:30:00,171.6199951
100,2024-03-08 11:30:00-05:00,08/03/2024,11:30:00,172.7149963
101,2024-03-08 12:30:00-05:00,08/03/2024,12:30:00,172.2299957
102,2024-03-08 13:30:00-05:00,08/03/2024,13:30:00,173.4700012
103,2024-03-08 14:30:00-05:00,08/03/2024,14:30:00,171.3999939
104,2024-03-08 15:30:00-05:00,08/03/2024,15:30:00,170.7400055
105,2024-03-11 09:30:00-04:00,11/03/2024,9:30:00,173.3500061
106,2024-03-11 10:30:00-04:00,11/03/2024,10:30:00,172.6730957
107,2024-03-11 11:30:00-04:00,11/03/2024,11:30:00,172.8200073
108,2024-03-11 12:30:00-04:00,11/03/2024,12:30:00,172.3899994
109,2024-03-11 13:30:00-04:00,11/03/2024,13:30:00,172.625
110,2024-03-11 14:30:00-04:00,11/03/2024,14:30:00,172.6999969
111,2024-03-11 15:30:00-04:00,11/03/2024,15:30:00,172.7899933
112,2024-03-12 09:30:00-04:00,12/03/2024,9:30:00,172.6349945
113,2024-03-12 10:30:00-04:00,12/03/2024,10:30:00,172.6799011
114,2024-03-12 11:30:00-04:00,12/03/2024,11:30:00,172.5200043
115,2024-03-12 12:30:00-04:00,12/03/2024,12:30:00,173.0399933
116,2024-03-12 13:30:00-04:00,12/03/2024,13:30:00,173.7449951
117,2024-03-12 14:30:00-04:00,12/03/2024,14:30:00,173.8450012
118,2024-03-12 15:30:00-04:00,12/03/2024,15:30:00,173.2200012
119,2024-03-13 09:30:00-04:00,13/03/2024,9:30:00,170.9850006
120,2024-03-13 10:30:00-04:00,13/03/2024,10:30:00,170.9949951
121,2024-03-13 11:30:00-04:00,13/03/2024,11:30:00,171.0599976
122,2024-03-13 12:30:00-04:00,13/03/2024,12:30:00,171.4349976
123,2024-03-13 13:30:00-04:00,13/03/2024,13:30:00,171.5800018
124,2024-03-13 14:30:00-04:00,13/03/2024,14:30:00,171.2799988
125,2024-03-13 15:30:00-04:00,13/03/2024,15:30:00,171.1699982
126,2024-03-14 09:30:00-04:00,14/03/2024,9:30:00,173.6649933
127,2024-03-14 10:30:00-04:00,14/03/2024,10:30:00,173.3399963
128,2024-03-14 11:30:00-04:00,14/03/2024,11:30:00,172.6600037
129,2024-03-14 12:30:00-04:00,14/03/2024,12:30:00,172.9629974
130,2024-03-14 13:30:00-04:00,14/03/2024,13:30:00,173.8249969
131,2024-03-14 14:30:00-04:00,14/03/2024,14:30:00,172.6600037
132,2024-03-14 15:30:00-04:00,14/03/2024,15:30:00,173.0800018
133,2024-03-15 09:30:00-04:00,15/03/2024,9:30:00,170.6101074
134,2024-03-15 10:30:00-04:00,15/03/2024,10:30:00,170.9550018
135,2024-03-15 11:30:00-04:00,15/03/2024,11:30:00,171.3150024
136,2024-03-15 12:30:00-04:00,15/03/2024,12:30:00,170.6950073
137,2024-03-15 13:30:00-04:00,15/03/2024,13:30:00,171.2149963
138,2024-03-15 14:30:00-04:00,15/03/2024,14:30:00,171.8650055
139,2024-03-15 15:30:00-04:00,15/03/2024,15:30:00,172.5700073
140,2024-03-18 09:30:00-04:00,18/03/2024,9:30:00,177.3500061
141,2024-03-18 10:30:00-04:00,18/03/2024,10:30:00,176.8200073
142,2024-03-18 11:30:00-04:00,18/03/2024,11:30:00,175.2583008
143,2024-03-18 12:30:00-04:00,18/03/2024,12:30:00,175.3950043
144,2024-03-18 13:30:00-04:00,18/03/2024,13:30:00,175.5301056
145,2024-03-18 14:30:00-04:00,18/03/2024,14:30:00,175.0650024
146,2024-03-18 15:30:00-04:00,18/03/2024,15:30:00,173.6999969
147,2024-03-19 09:30:00-04:00,19/03/2024,9:30:00,174.7050018
148,2024-03-19 10:30:00-04:00,19/03/2024,10:30:00,174.8399963
149,2024-03-19 11:30:00-04:00,19/03/2024,11:30:00,175.3099976
150,2024-03-19 12:30:00-04:00,19/03/2024,12:30:00,175.6450043
151,2024-03-19 13:30:00-04:00,19/03/2024,13:30:00,176.4250031
152,2024-03-19 14:30:00-04:00,19/03/2024,14:30:00,176.3300018
153,2024-03-19 15:30:00-04:00,19/03/2024,15:30:00,176.0800018
154,2024-03-20 09:30:00-04:00,20/03/2024,9:30:00,176.1605072
155,2024-03-20 10:30:00-04:00,20/03/2024,10:30:00,176.059906
156,2024-03-20 11:30:00-04:00,20/03/2024,11:30:00,176.3800964
157,2024-03-20 12:30:00-04:00,20/03/2024,12:30:00,176.3249969
158,2024-03-20 13:30:00-04:00,20/03/2024,13:30:00,177.0075073
159,2024-03-20 14:30:00-04:00,20/03/2024,14:30:00,178.2149963
160,2024-03-20 15:30:00-04:00,20/03/2024,15:30:00,178.6600037
161,2024-03-21 09:30:00-04:00,21/03/2024,9:30:00,175.0218048
162,2024-03-21 10:30:00-04:00,21/03/2024,10:30:00,172.8213043
163,2024-03-21 11:30:00-04:00,21/03/2024,11:30:00,172.5650024
164,2024-03-21 12:30:00-04:00,21/03/2024,12:30:00,172.1083069
165,2024-03-21 13:30:00-04:00,21/03/2024,13:30:00,171.0749969
166,2024-03-21 14:30:00-04:00,21/03/2024,14:30:00,171.25
167,2024-03-21 15:30:00-04:00,21/03/2024,15:30:00,171.3999939
168,2024-03-22 09:30:00-04:00,22/03/2024,9:30:00,171.7857056
169,2024-03-22 10:30:00-04:00,22/03/2024,10:30:00,172.2599945
170,2024-03-22 11:30:00-04:00,22/03/2024,11:30:00,172.3650055
171,2024-03-22 12:30:00-04:00,22/03/2024,12:30:00,172.6139984
172,2024-03-22 13:30:00-04:00,22/03/2024,13:30:00,172.625
173,2024-03-22 14:30:00-04:00,22/03/2024,14:30:00,172.9868927
174,2024-03-22 15:30:00-04:00,22/03/2024,15:30:00,172.25
175,2024-03-25 09:30:00-04:00,25/03/2024,9:30:00,170.0399933
176,2024-03-25 10:30:00-04:00,25/03/2024,10:30:00,170.1199951
177,2024-03-25 11:30:00-04:00,25/03/2024,11:30:00,170.7378998
178,2024-03-25 12:30:00-04:00,25/03/2024,12:30:00,171.3650055
179,2024-03-25 13:30:00-04:00,25/03/2024,13:30:00,171.3300018
180,2024-03-25 14:30:00-04:00,25/03/2024,14:30:00,171.5579987
181,2024-03-25 15:30:00-04:00,25/03/2024,15:30:00,170.8600006
182,2024-03-26 09:30:00-04:00,26/03/2024,9:30:00,170.7200012
183,2024-03-26 10:30:00-04:00,26/03/2024,10:30:00,170.651001
184,2024-03-26 11:30:00-04:00,26/03/2024,11:30:00,171.2346954
185,2024-03-26 12:30:00-04:00,26/03/2024,12:30:00,170.8200073
186,2024-03-26 13:30:00-04:00,26/03/2024,13:30:00,170.5200043
187,2024-03-26 14:30:00-04:00,26/03/2024,14:30:00,170.5399933
188,2024-03-26 15:30:00-04:00,26/03/2024,15:30:00,169.8150024
189,2024-03-27 09:30:00-04:00,27/03/2024,9:30:00,172.0449982
190,2024-03-27 10:30:00-04:00,27/03/2024,10:30:00,172.4550018
191,2024-03-27 11:30:00-04:00,27/03/2024,11:30:00,172.0467987
192,2024-03-27 12:30:00-04:00,27/03/2024,12:30:00,172.2599945
193,2024-03-27 13:30:00-04:00,27/03/2024,13:30:00,172.75
194,2024-03-27 14:30:00-04:00,27/03/2024,14:30:00,172.9900055
195,2024-03-27 15:30:00-04:00,27/03/2024,15:30:00,173.4100037
196,2024-03-28 09:30:00-04:00,28/03/2024,9:30:00,171.1950073
197,2024-03-28 10:30:00-04:00,28/03/2024,10:30:00,170.8350067
198,2024-03-28 11:30:00-04:00,28/03/2024,11:30:00,171.1692047
199,2024-03-28 12:30:00-04:00,28/03/2024,12:30:00,170.9649963
200,2024-03-28 13:30:00-04:00,28/03/2024,13:30:00,171.7801056
201,2024-03-28 14:30:00-04:00,28/03/2024,14:30:00,172.1398926
202,2024-03-28 15:30:00-04:00,28/03/2024,15:30:00,171.5200043
203,2024-04-01 09:30:00-04:00,01/04/2024,9:30:00,170.0899048
204,2024-04-01 10:30:00-04:00,01/04/2024,10:30:00,169.8450012
205,2024-04-01 11:30:00-04:00,01/04/2024,11:30:00,169.8950043
206,2024-04-01 12:30:00-04:00,01/04/2024,12:30:00,169.9156952
207,2024-04-01 13:30:00-04:00,01/04/2024,13:30:00,169.9949951
208,2024-04-01 14:30:00-04:00,01/04/2024,14:30:00,169.9349976
209,2024-04-01 15:30:00-04:00,01/04/2024,15:30:00,170.0099945
210,2024-04-02 09:30:00-04:00,02/04/2024,9:30:00,169.0399933
211,2024-04-02 10:30:00-04:00,02/04/2024,10:30:00,168.8321991
212,2024-04-02 11:30:00-04:00,02/04/2024,11:30:00,168.6649933
213,2024-04-02 12:30:00-04:00,02/04/2024,12:30:00,168.9949951
214,2024-04-02 13:30:00-04:00,02/04/2024,13:30:00,168.9199982
215,2024-04-02 14:30:00-04:00,02/04/2024,14:30:00,168.9750061
216,2024-04-02 15:30:00-04:00,02/04/2024,15:30:00,168.9400024
217,2024-04-03 09:30:00-04:00,03/04/2024,9:30:00,170.0366974
218,2024-04-03 10:30:00-04:00,03/04/2024,10:30:00,170.5200043
219,2024-04-03 11:30:00-04:00,03/04/2024,11:30:00,170.3200073
220,2024-04-03 12:30:00-04:00,03/04/2024,12:30:00,170.2350006
221,2024-04-03 13:30:00-04:00,03/04/2024,13:30:00,170.1970062
222,2024-04-03 14:30:00-04:00,03/04/2024,14:30:00,169.5249939
223,2024-04-03 15:30:00-04:00,03/04/2024,15:30:00,169.6600037
224,2024-04-04 09:30:00-04:00,04/04/2024,9:30:00,171.0099945
225,2024-04-04 10:30:00-04:00,04/04/2024,10:30:00,171.2700043
226,2024-04-04 11:30:00-04:00,04/04/2024,11:30:00,171.7203064
227,2024-04-04 12:30:00-04:00,04/04/2024,12:30:00,171.5399933
228,2024-04-04 13:30:00-04:00,04/04/2024,13:30:00,169.75
229,2024-04-04 14:30:00-04:00,04/04/2024,14:30:00,169.0410004
230,2024-04-04 15:30:00-04:00,04/04/2024,15:30:00,168.8899994
231,2024-04-05 09:30:00-04:00,05/04/2024,9:30:00,169.2200012
232,2024-04-05 10:30:00-04:00,05/04/2024,10:30:00,169.4649963
233,2024-04-05 11:30:00-04:00,05/04/2024,11:30:00,170.1699982
234,2024-04-05 12:30:00-04:00,05/04/2024,12:30:00,170.0740051
235,2024-04-05 13:30:00-04:00,05/04/2024,13:30:00,169.5003052
236,2024-04-05 14:30:00-04:00,05/04/2024,14:30:00,169.8899994
237,2024-04-05 15:30:00-04:00,05/04/2024,15:30:00,169.5700073
238,2024-04-08 09:30:00-04:00,08/04/2024,9:30:00,168.8200073
239,2024-04-08 10:30:00-04:00,08/04/2024,10:30:00,168.8150024
240,2024-04-08 11:30:00-04:00,08/04/2024,11:30:00,168.4123993
241,2024-04-08 12:30:00-04:00,08/04/2024,12:30:00,168.6450043
242,2024-04-08 13:30:00-04:00,08/04/2024,13:30:00,168.7901001
243,2024-04-08 14:30:00-04:00,08/04/2024,14:30:00,168.7850037
244,2024-04-08 15:30:00-04:00,08/04/2024,15:30:00,168.4600067
245,2024-04-09 09:30:00-04:00,09/04/2024,9:30:00,169.4700012
246,2024-04-09 10:30:00-04:00,09/04/2024,10:30:00,168.6950073
247,2024-04-09 11:30:00-04:00,09/04/2024,11:30:00,169.0700073
248,2024-04-09 12:30:00-04:00,09/04/2024,12:30:00,169.2599945
249,2024-04-09 13:30:00-04:00,09/04/2024,13:30:00,168.5850067
250,2024-04-09 14:30:00-04:00,09/04/2024,14:30:00,169.2525024
251,2024-04-09 15:30:00-04:00,09/04/2024,15:30:00,169.6900024
252,2024-04-10 09:30:00-04:00,10/04/2024,9:30:00,168.0299988
253,2024-04-10 10:30:00-04:00,10/04/2024,10:30:00,167.9149933
254,2024-04-10 11:30:00-04:00,10/04/2024,11:30:00,168.0149994
255,2024-04-10 12:30:00-04:00,10/04/2024,12:30:00,168.1349945
256,2024-04-10 13:30:00-04:00,10/04/2024,13:30:00,167.7599945
257,2024-04-10 14:30:00-04:00,10/04/2024,14:30:00,168.2599945
258,2024-04-10 15:30:00-04:00,10/04/2024,15:30:00,167.75
259,2024-04-11 09:30:00-04:00,11/04/2024,9:30:00,168.7200012
260,2024-04-11 10:30:00-04:00,11/04/2024,10:30:00,169
261,2024-04-11 11:30:00-04:00,11/04/2024,11:30:00,169.9100037
262,2024-04-11 12:30:00-04:00,11/04/2024,12:30:00,172.1049957
263,2024-04-11 13:30:00-04:00,11/04/2024,13:30:00,174.1799927
264,2024-04-11 14:30:00-04:00,11/04/2024,14:30:00,174.7398987
265,2024-04-11 15:30:00-04:00,11/04/2024,15:30:00,175.0399933
266,2024-04-12 09:30:00-04:00,12/04/2024,9:30:00,176.75
267,2024-04-12 10:30:00-04:00,12/04/2024,10:30:00,176.254303
268,2024-04-12 11:30:00-04:00,12/04/2024,11:30:00,175.5899963
269,2024-04-12 12:30:00-04:00,12/04/2024,12:30:00,175.3500061
270,2024-04-12 13:30:00-04:00,12/04/2024,13:30:00,175.9700012
271,2024-04-12 14:30:00-04:00,12/04/2024,14:30:00,176.0175018
272,2024-04-12 15:30:00-04:00,12/04/2024,15:30:00,176.5650024
